Sq,Row,lev.mod.cont,Area,Layer,NSP
A,1,NA,NA,NA,NA
A,2,NA,NA,NA,NA
A,3,NA,NA,NA,NA
A,4,NA,NA,NA,NA
A,5,NA,NA,NA,NA
A,6,NA,NA,NA,NA
A,7,N1-I,N1,I,447
A,7,N1-I/J,N1,I/J,41
A,7,N1-J,N1,J,34
A,7,N1-J/K,N1,J/K,12
A,7,N1-K,N1,K,4
A,8,N1-I,N1,I,823
A,8,N1-I/J,N1,I/J,142
A,8,N1-J,N1,J,6
A,9,NA,NA,NA,NA
A,10,NA,NA,NA,NA
A,11,NA,NA,NA,NA
AA,1,NA,NA,NA,NA
AA,2,NA,NA,NA,NA
AA,3,NA,NA,NA,NA
AA,4,NA,NA,NA,NA
AA,5,NA,NA,NA,NA
AA,6,NA,NA,NA,NA
AA,7,N1-I,N1,I,1560
AA,7,N1-I/J,N1,I/J,71
AA,7,N1-J,N1,J,63
AA,7,N1-J/K,N1,J/K,49
AA,7,N1-K,N1,K,45
AA,8,N1-I,N1,I,1308
AA,8,N1-I/J,N1,I/J,111
AA,8,N1-J,N1,J,143
AA,8,N1-J/K,N1,J/K,22
AA,9,N1-I/J,N1,I/J,1
AA,9,N1-J,N1,J,1
AA,10,NA,NA,NA,NA
AA,11,NA,NA,NA,NA
B,1,NA,NA,NA,NA
B,2,NA,NA,NA,NA
B,3,NA,NA,NA,NA
B,4,NA,NA,NA,NA
B,5,NA,NA,NA,NA
B,6,NA,NA,NA,NA
B,7,NA,NA,NA,NA
B,8,NA,NA,NA,NA
B,9,NA,NA,NA,NA
B,10,NA,NA,NA,NA
B,11,NA,NA,NA,NA
BB,1,NA,NA,NA,NA
BB,2,NA,NA,NA,NA
BB,3,NA,NA,NA,NA
BB,4,NA,NA,NA,NA
BB,5,NA,NA,NA,NA
BB,6,NA,NA,NA,NA
BB,7,N1-I,N1,I,1067
BB,7,N1-I/J,N1,I/J,31
BB,7,N1-J,N1,J,88
BB,7,N1-J/K,N1,J/K,56
BB,7,N1-K,N1,K,329
BB,8,N1-I,N1,I,1318
BB,8,N1-I/J,N1,I/J,70
BB,8,N1-J,N1,J,156
BB,8,N1-J/K,N1,J/K,20
BB,8,N1-K,N1,K,87
BB,9,NA,NA,NA,NA
BB,10,NA,NA,NA,NA
BB,11,NA,NA,NA,NA
C,1,NA,NA,NA,NA
C,2,NA,NA,NA,NA
C,3,NA,NA,NA,NA
C,4,NA,NA,NA,NA
C,5,NA,NA,NA,NA
C,6,NA,NA,NA,NA
C,7,NA,NA,NA,NA
C,8,NA,NA,NA,NA
C,9,NA,NA,NA,NA
C,10,NA,NA,NA,NA
C,11,NA,NA,NA,NA
CC,1,NA,NA,NA,NA
CC,2,NA,NA,NA,NA
CC,3,NA,NA,NA,NA
CC,4,NA,NA,NA,NA
CC,5,NA,NA,NA,NA
CC,6,N1-I,N1,I,383
CC,6,N1-I/J,N1,I/J,109
CC,6,N1-J,N1,J,8
CC,7,N1-I,N1,I,2259
CC,7,N1-I/J,N1,I/J,120
CC,7,N1-J,N1,J,215
CC,7,N1-J/K,N1,J/K,8
CC,7,N1-K,N1,K,75
CC,8,N1-I,N1,I,1378
CC,8,N1-I/J,N1,I/J,222
CC,8,N1-J,N1,J,201
CC,8,N1-J/K,N1,J/K,18
CC,8,N1-K,N1,K,174
CC,9,NA,NA,NA,NA
CC,10,NA,NA,NA,NA
CC,11,NA,NA,NA,NA
D,1,NA,NA,NA,NA
D,2,NA,NA,NA,NA
D,3,NA,NA,NA,NA
D,4,NA,NA,NA,NA
D,5,NA,NA,NA,NA
D,6,NA,NA,NA,NA
D,7,NA,NA,NA,NA
D,8,NA,NA,NA,NA
D,9,NA,NA,NA,NA
D,10,NA,NA,NA,NA
D,11,NA,NA,NA,NA
DD,1,NA,NA,NA,NA
DD,2,NA,NA,NA,NA
DD,3,NA,NA,NA,NA
DD,4,NA,NA,NA,NA
DD,5,NA,NA,NA,NA
DD,6,NA,NA,NA,NA
DD,7,N1-I,N1,I,768
DD,7,N1-I/J,N1,I/J,245
DD,7,N1-J,N1,J,124
DD,8,N1-I,N1,I,1247
DD,8,N1-I/J,N1,I/J,229
DD,8,N1-J,N1,J,118
DD,9,NA,NA,NA,NA
DD,10,NA,NA,NA,NA
DD,11,NA,NA,NA,NA
E,1,NA,NA,NA,NA
E,2,NA,NA,NA,NA
E,3,NA,NA,NA,NA
E,4,NA,NA,NA,NA
E,5,NA,NA,NA,NA
E,6,MS-I/J,MS,I/J,13
E,6,MS-J,MS,J,22
E,7,NA,NA,NA,NA
E,8,NA,NA,NA,NA
E,9,NA,NA,NA,NA
E,10,NA,NA,NA,NA
E,11,NA,NA,NA,NA
F,1,NA,NA,NA,NA
F,2,NA,NA,NA,NA
F,3,NA,NA,NA,NA
F,4,NA,NA,NA,NA
F,5,MS-I,MS,I,64
F,5,MS-I/J,MS,I/J,76
F,5,MS-J,MS,J,16
F,6,MS-I,MS,I,36
F,6,MS-I/J,MS,I/J,8
F,6,MS-J,MS,J,95
F,7,NA,NA,NA,NA
F,8,NA,NA,NA,NA
F,9,NA,NA,NA,NA
F,10,NA,NA,NA,NA
F,11,NA,NA,NA,NA
G,1,NA,NA,NA,NA
G,2,NA,NA,NA,NA
G,3,NA,NA,NA,NA
G,4,NA,NA,NA,NA
G,5,MS-I,MS,I,33
G,5,MS-I/J,MS,I/J,29
G,5,MS-J,MS,J,4
G,6,NA,NA,NA,NA
G,7,NA,NA,NA,NA
G,8,NA,NA,NA,NA
G,9,NA,NA,NA,NA
G,10,NA,NA,NA,NA
G,11,NA,NA,NA,NA
