taxa,BSC,lev.final,type,n,total,pc
carn,Large,I,cut,35,274,12.773722627737227
carn,Large,J,cut,0,155,0
carn,Large,K,cut,1,44,2.272727272727273
carn,Large,I,scrape,11,274,4.014598540145985
carn,Large,J,scrape,0,155,0
carn,Large,K,scrape,2,44,4.545454545454546
carn,Large,I,marrow,5,274,1.824817518248175
carn,Large,J,marrow,0,155,0
carn,Large,K,marrow,1,44,2.272727272727273
carn,Medium,I,cut,1,23,4.3478260869565215
carn,Medium,J,cut,1,11,9.090909090909092
carn,Medium,K,cut,0,1,0
carn,Medium,I,scrape,1,23,4.3478260869565215
carn,Medium,J,scrape,0,11,0
carn,Medium,K,scrape,0,1,0
carn,Medium,I,marrow,1,23,4.3478260869565215
carn,Medium,J,marrow,0,11,0
carn,Medium,K,marrow,0,1,0
carn,Small,I,cut,3,21,14.285714285714285
carn,Small,J,cut,0,8,0
carn,Small,K,cut,0,5,0
carn,Small,I,scrape,3,21,14.285714285714285
carn,Small,J,scrape,0,8,0
carn,Small,K,scrape,0,5,0
carn,Small,I,marrow,0,21,0
carn,Small,J,marrow,0,8,0
carn,Small,K,marrow,0,5,0
herb,Large,I,cut,97,688,14.098837209302326
herb,Large,J,cut,3,66,4.545454545454546
herb,Large,K,cut,3,100,3
herb,Large,I,scrape,29,688,4.215116279069767
herb,Large,J,scrape,4,66,6.0606060606060606
herb,Large,K,scrape,3,100,3
herb,Large,I,marrow,44,688,6.395348837209303
herb,Large,J,marrow,5,66,7.575757575757576
herb,Large,K,marrow,7,100,7.000000000000001
herb,Medium,I,cut,117,757,15.455746367239101
herb,Medium,J,cut,2,42,4.761904761904762
herb,Medium,K,cut,2,51,3.9215686274509802
herb,Medium,I,scrape,29,757,3.830911492734478
herb,Medium,J,scrape,1,42,2.380952380952381
herb,Medium,K,scrape,1,51,1.9607843137254901
herb,Medium,I,marrow,27,757,3.5667107001321003
herb,Medium,J,marrow,0,42,0
herb,Medium,K,marrow,4,51,7.8431372549019605
herb,Small,I,cut,26,173,15.028901734104046
herb,Small,J,cut,1,14,7.142857142857142
herb,Small,K,cut,2,26,7.6923076923076925
herb,Small,I,scrape,3,173,1.7341040462427744
herb,Small,J,scrape,0,14,0
herb,Small,K,scrape,0,26,0
herb,Small,I,marrow,1,173,0.5780346820809248
herb,Small,J,marrow,0,14,0
herb,Small,K,marrow,1,26,3.8461538461538463
