lev.final,TAXON,NISP,%NISP
I,Aquila chrysaetos,1,0.090661831
I,bird unknown,5,0.453309157
I,Bison priscus,14,1.269265639
I,Bos Bison sp.,218,19.76427924
I,Bos primigenius,57,5.167724388
I,Canis lupus,12,1.087941976
I,Canis sp.,5,0.453309157
I,Capra caucasica,10,0.906618314
I,Capra ibex,36,3.263825929
I,Capra sp.,45,4.079782412
I,Capreolus capreolus,3,0.271985494
I,Cervid sp.,154,13.96192203
I,Cervus elaphus,131,11.87669991
I,Crocuta spelaea,21,1.903898459
I,Dama dama,2,0.181323663
I,Equid sp.,52,4.714415231
I,Equus ferus,17,1.541251133
I,Equus hydruntinus,6,0.543970988
I,fish unknown,1,0.090661831
I,Hyaena sp.,2,0.181323663
I,Leporid sp.,5,0.453309157
I,Megaloceros giganteus,23,2.085222121
I,Panthera leo spelaea,5,0.453309157
I,Panthera pardus,1,0.090661831
I,Rhino sp.,2,0.181323663
I,Rupicapra rupicapra,1,0.090661831
I,Sus scrofa,2,0.181323663
I,Ursus arctos,4,0.362647325
I,Ursus sp.,81,7.343608341
I,Ursus spelaeus,183,16.59111514
I,Vulpes vulpes,4,0.362647325
I/J,Bison priscus,3,3.488372093
I/J,Bos Bison sp.,9,10.46511628
I/J,Bos primigenius,3,3.488372093
I/J,Canis lupus,2,2.325581395
I/J,Canis sp.,1,1.162790698
I/J,Capra sp.,3,3.488372093
I/J,Capreolus capreolus,1,1.162790698
I/J,Cervid sp.,10,11.62790698
I/J,Cervus elaphus,7,8.139534884
I/J,Crocuta spelaea,2,2.325581395
I/J,Equid sp.,1,1.162790698
I/J,Equus hydruntinus,1,1.162790698
I/J,Gulo gulo,1,1.162790698
I/J,Megaloceros giganteus,1,1.162790698
I/J,Rupicapra rupicapra,2,2.325581395
I/J,Ursus sp.,7,8.139534884
I/J,Ursus spelaeus,32,37.20930233
J,Bison priscus,3,1.25
J,Bos Bison sp.,16,6.666666667
J,Bos primigenius,4,1.666666667
J,Canis lupus,4,1.666666667
J,Capra ibex,5,2.083333333
J,Capra sp.,5,2.083333333
J,Capreolus capreolus,1,0.416666667
J,Cervid sp.,14,5.833333333
J,Cervus elaphus,4,1.666666667
J,Crocuta spelaea,7,2.916666667
J,Cuon alpinus,1,0.416666667
J,Equid sp.,3,1.25
J,Equus ferus,4,1.666666667
J,Equus hydruntinus,1,0.416666667
J,Felidae sp.,1,0.416666667
J,Gulo gulo,1,0.416666667
J,Hyaena sp.,4,1.666666667
J,Leporid sp.,1,0.416666667
J,Panthera pardus,1,0.416666667
J,Rangifer tarandus,1,0.416666667
J,Rupicapra rupicapra,1,0.416666667
J,Stephanorhinus hemiotechus,2,0.833333333
J,Ursus arctos,3,1.25
J,Ursus sp.,42,17.5
J,Ursus spelaeus,109,45.41666667
J,Vulpes vulpes,2,0.833333333
J/K,Bos Bison sp.,4,9.302325581
J/K,Canis lupus,4,9.302325581
J/K,Capra ibex,4,9.302325581
J/K,Cervid sp.,3,6.976744186
J/K,Cervus elaphus,2,4.651162791
J/K,Crocuta spelaea,1,2.325581395
J/K,Equid sp.,1,2.325581395
J/K,Equus ferus,1,2.325581395
J/K,Hyaena sp.,2,4.651162791
J/K,Panthera pardus,1,2.325581395
J/K,Ursus sp.,5,11.62790698
J/K,Ursus spelaeus,15,34.88372093
K,Bison priscus,7,4.545454545
K,Bos Bison sp.,30,19.48051948
K,Bos primigenius,3,1.948051948
K,Canis lupus,4,2.597402597
K,Capra ibex,14,9.090909091
K,Capra sp.,10,6.493506494
K,Cervid sp.,17,11.03896104
K,Cervus elaphus,5,3.246753247
K,Crocuta spelaea,1,0.649350649
K,Equid sp.,3,1.948051948
K,Equus ferus,5,3.246753247
K,Equus hydruntinus,4,2.597402597
K,Mammuthus primigenius,1,0.649350649
K,Megaloceros giganteus,3,1.948051948
K,Panthera pardus,5,3.246753247
K,Sus scrofa,2,1.298701299
K,Ursus sp.,8,5.194805195
K,Ursus spelaeus,31,20.12987013
K,Vulpes vulpes,1,0.649350649
