Layer,Taxon,NISP,MNE,MNI
I,Bison priscus,14,2,2
I,Bos/Bison,218,17,7
I,Bos primigenius,57,6,3
I,Canis lupus,12,2,2
I,Canis sp.,5,2,1
I,Capra caucasica,10,1,1
I,Capra ibex,36,5,4
I,Capra sp.,45,6,2
I,Capreolus capreolus,3,1,1
I,Cervid sp.,154,12,4
I,Cervus elaphus,131,9,5
I,Crocuta spelaea,21,3,1
I,Dama dama,2,1,1
I,Equid sp.,52,6,4
I,Equus ferus,17,3,2
I,Equus hydruntinus,6,1,1
I,fish unknown,1,1,1
I,Hyaena sp.,2,1,1
I,Megaloceros giganteus,23,5,2
I,Panthera leo spelaea,5,2,1
I,Panthera pardus,1,1,1
I,Rhino sp.,2,1,1
I,Rupicapra rupicapra,1,1,1
I,Sus scrofa,2,1,1
I,Ursus arctos,4,1,1
I,Ursus sp.,81,7,4
I,Ursus spelaeus,182,16,6
I,Vulpes vulpes,4,1,1
I/J,Bison priscus,3,1,1
I/J,Bos/Bison,9,2,1
I/J,Bos primigenius,3,1,1
I/J,Canis lupus,2,1,1
I/J,Canis sp.,1,1,1
I/J,Capra sp.,2,1,1
I/J,Capreolus capreolus,1,1,1
I/J,Cervid sp.,10,3,1
I/J,Cervus elaphus,7,2,1
I/J,Crocuta spelaea,2,1,1
I/J,Equid sp.,1,1,1
I/J,Gulo gulo,1,1,1
I/J,Megaloceros giganteus,1,1,1
I/J,Rupicapra rupicapra,2,1,1
I/J,Ursus sp.,7,6,1
I/J,Ursus spelaeus,32,4,2
J,Bison priscus,3,1,1
J,Bos/Bison,16,2,2
J,Bos primigenius,4,1,1
J,Canis lupus,4,2,1
J,Capra ibex,5,1,1
J,Capreolus capreolus,1,1,1
J,Cervid sp.,14,1,1
J,Cervus elaphus,4,1,1
J,Crocuta spelaea,7,1,1
J,Cuon alpinus,1,1,1
J,Equus ferus,4,1,1
J,Equus hydruntinus,1,1,1
J,Felidae sp.,1,1,1
J,Hyaena sp.,4,1,1
J,Panthera pardus,1,1,1
J,Rangifer tarandus,1,1,1
J,Ursus arctos,3,1,1
J,Ursus sp.,42,2,1
J,Ursus spelaeus,108,14,8
J,Vulpes vulpes,2,1,1
J/K,Bos/Bison,4,1,1
J/K,Canis lupus,4,1,1
J/K,Capra ibex,4,1,1
J/K,Cervid sp.,3,2,2
J/K,Cervus elaphus,2,1,1
J/K,Crocuta spelaea,1,1,1
J/K,Equid sp.,1,1,1
J/K,Equus ferus,1,1,1
J/K,Hyaena sp.,2,1,1
J/K,Ursus sp.,5,1,1
J/K,Ursus spelaeus,15,2,2
K,Bison priscus,7,2,1
K,Bos/Bison,30,3,1
K,Bos primigenius,3,1,1
K,Canis lupus,4,1,1
K,Capra ibex,14,3,2
K,Capra sp.,11,1,1
K,Cervid sp.,17,7,2
K,Cervus elaphus,5,1,1
K,Crocuta spelaea,1,1,1
K,Equid sp.,3,2,1
K,Equus ferus,5,1,1
K,Equus hydruntinus,4,1,1
K,Megaloceros giganteus,3,1,1
K,Panthera pardus,5,3,3
K,Ursus sp.,8,1,1
K,Ursus spelaeus,31,3,2
K,Vulpes vulpes,1,1,1
I,Aquila chrysaetos,1,1,1
I,bird unknown,5,2,1
I,Leporid sp.,5,1,1
I/J,Equus hydruntinus,1,1,1
J,Capra sp.,5,1,1
J,Equid sp.,3,1,1
J,Gulo Gulo,1,1,1
J,Leporid sp.,1,1,1
J,Rupicapra rupicapra,1,1,1
J,Stephanorhinus hemiotechus,2,1,1
J/K,Panthera pardus,1,1,1
K,Mammuthus primigenius,1,1,1
K,Sus scrofa,2,1,1
