"","Layer","NSP"
"1","3C/3D",12
"2","A0",7
"3","A1",31
"4","A1/A2",1
"5","A2",87
"6","A2A/B",2
"7","B",565
"8","B/C",20
"9","C",190
"10","D",40
"11","DEBLAIS",15
"12","E",81
"13","F",87
"14","G1",4
"15","G2",9
"16","G3",2
"17","H/I",7
"18","MS-I",133
"19","MS-I/J",126
"20","MS-J",137
"21","N1-1",17
"22","N1-2",18
"23","N1-3A",50
"24","N1-3B",38
"25","N1-3B/3C",7
"26","N1-3C",27
"27","N1-3D",12
"28","N1-3E",52
"29","N1-3E/G1",3
"30","N1-G1",13
"31","N1-G2",9
"32","N1-G3",1
"33","N1-H",226
"34","N1-H/I",665
"35","N1-I",12558
"36","N1-I/J",1392
"37","N1-J",1157
"38","N1-J/K",185
"39","N1-K",714
"40","N1 3C/3D",5
"41","N1 3D/3E",8
