lev.final,Taxon.mod,Element.mod,NISP,MNE,MNI,pcNISP,pcMNE
I,Bos_Bison_sp.,Axial,28,18,5,10.76923076923077,12.587412587412588
I,Bos_Bison_sp.,Cranium,24,21,2,9.230769230769232,14.685314685314685
I,Bos_Bison_sp.,Foot,29,20,3,11.153846153846155,13.986013986013987
I,Bos_Bison_sp.,Forelimb,92,47,7,35.38461538461539,32.86713286713287
I,Bos_Bison_sp.,Hindlimb,87,37,7,33.46153846153846,25.874125874125873
I,Canis_lupus,Cranium,6,6,2,54.54545454545454,46.15384615384615
I,Canis_lupus,Foot,2,3,1,18.181818181818183,23.076923076923077
I,Canis_lupus,Forelimb,1,2,1,9.090909090909092,15.384615384615385
I,Canis_lupus,Hindlimb,2,2,1,18.181818181818183,15.384615384615385
I,Canis_sp.,Axial,2,1,1,50,25
I,Canis_sp.,Cranium,1,1,1,25,25
I,Canis_sp.,Forelimb,1,2,1,25,50
I,Capra_sp.,Axial,5,5,1,8.47457627118644,8.19672131147541
I,Capra_sp.,Cranium,14,14,2,23.728813559322035,22.950819672131146
I,Capra_sp.,Foot,23,23,4,38.983050847457626,37.704918032786885
I,Capra_sp.,Forelimb,11,12,1,18.64406779661017,19.672131147540984
I,Capra_sp.,Hindlimb,6,7,1,10.16949152542373,11.475409836065573
I,Capreolus_capreolus,Forelimb,1,1,1,33.33333333333333,33.33333333333333
I,Capreolus_capreolus,Hindlimb,2,2,1,66.66666666666666,66.66666666666666
I,Cervid,Axial,22,15,3,8.208955223880597,10.204081632653061
I,Cervid,Cranium,30,23,3,11.194029850746269,15.646258503401361
I,Cervid,Foot,51,35,3,19.029850746268657,23.809523809523807
I,Cervid,Forelimb,78,36,3,29.1044776119403,24.489795918367346
I,Cervid,Hindlimb,87,38,5,32.46268656716418,25.850340136054424
I,Crocuta_spelaea,Axial,1,1,1,7.142857142857142,6.666666666666667
I,Crocuta_spelaea,Cranium,5,5,1,35.714285714285715,33.33333333333333
I,Crocuta_spelaea,Foot,4,5,1,28.57142857142857,33.33333333333333
I,Crocuta_spelaea,Forelimb,3,3,1,21.428571428571427,20
I,Crocuta_spelaea,Hindlimb,1,1,1,7.142857142857142,6.666666666666667
I,Dama_dama,Forelimb,1,1,1,100,100
I,Equid_sp.,Axial,8,6,1,14.814814814814813,13.953488372093023
I,Equid_sp.,Cranium,5,5,1,9.25925925925926,11.627906976744185
I,Equid_sp.,Foot,6,6,1,11.11111111111111,13.953488372093023
I,Equid_sp.,Forelimb,17,14,3,31.48148148148148,32.55813953488372
I,Equid_sp.,Hindlimb,18,12,4,33.33333333333333,27.906976744186046
I,Equus_hydruntinus,Foot,2,2,1,66.66666666666666,66.66666666666666
I,Equus_hydruntinus,Forelimb,1,1,1,33.33333333333333,33.33333333333333
I,Hyaena_sp.,Cranium,1,1,1,100,100
I,Megaloceros_giganteus,Cranium,2,2,1,9.090909090909092,12.5
I,Megaloceros_giganteus,Forelimb,10,7,2,45.45454545454545,43.75
I,Megaloceros_giganteus,Hindlimb,10,7,2,45.45454545454545,43.75
I,Panthera_leo_spelaeus,Cranium,1,1,1,20,20
I,Panthera_leo_spelaeus,Foot,1,1,1,20,20
I,Panthera_leo_spelaeus,Forelimb,3,3,1,60,60
I,Panthera_pardus,Forelimb,1,1,1,100,100
I,Rhino_sp.,Cranium,1,1,1,50,50
I,Rhino_sp.,Hindlimb,1,1,1,50,50
I,Rupicapra_rupicapra,Forelimb,1,1,1,100,100
I,Sus_scrofa,Foot,1,1,1,100,100
I,Ursid,Axial,16,12,2,8.205128205128204,7.741935483870968
I,Ursid,Cranium,78,57,6,40,36.774193548387096
I,Ursid,Foot,35,52,3,17.94871794871795,33.5483870967742
I,Ursid,Forelimb,43,22,3,22.05128205128205,14.193548387096774
I,Ursid,Hindlimb,23,12,4,11.794871794871794,7.741935483870968
I,Vulpes_vulpes,Cranium,2,2,1,50,50
I,Vulpes_vulpes,Foot,1,1,1,25,25
I,Vulpes_vulpes,Forelimb,1,1,1,25,25
I/J,Bos_Bison_sp.,Axial,1,1,1,7.6923076923076925,8.333333333333332
I/J,Bos_Bison_sp.,Cranium,5,4,1,38.46153846153847,33.33333333333333
I/J,Bos_Bison_sp.,Forelimb,5,5,1,38.46153846153847,41.66666666666667
I/J,Bos_Bison_sp.,Hindlimb,2,2,1,15.384615384615385,16.666666666666664
I/J,Canis_lupus,Axial,1,1,1,50,50
I/J,Canis_lupus,Foot,1,1,1,50,50
I/J,Canis_sp.,Hindlimb,1,1,1,100,100
I/J,Capra_sp.,Cranium,1,1,1,50,50
I/J,Capra_sp.,Forelimb,1,1,1,50,50
I/J,Capreolus_capreolus,Axial,1,1,1,100,100
I/J,Cervid,Axial,2,2,1,13.333333333333334,12.5
I/J,Cervid,Cranium,1,1,1,6.666666666666667,6.25
I/J,Cervid,Foot,2,2,1,13.333333333333334,12.5
I/J,Cervid,Forelimb,6,7,1,40,43.75
I/J,Cervid,Hindlimb,4,4,1,26.666666666666668,25
I/J,Crocuta_spelaea,Cranium,1,1,1,100,100
I/J,Equid_sp.,Cranium,1,1,1,100,100
I/J,Gulo_Gulo,Cranium,1,1,1,100,100
I/J,Megaloceros_giganteus,Cranium,1,1,1,100,100
I/J,Rupicapra_rupicapra,Hindlimb,2,1,1,100,100
I/J,Ursid,Cranium,14,14,2,60.86956521739131,43.75
I/J,Ursid,Foot,4,13,1,17.391304347826086,40.625
I/J,Ursid,Forelimb,4,4,2,17.391304347826086,12.5
I/J,Ursid,Hindlimb,1,1,1,4.3478260869565215,3.125
J,Bos_Bison_sp.,Axial,4,2,2,23.52941176470588,14.285714285714285
J,Bos_Bison_sp.,Cranium,6,6,1,35.294117647058826,42.857142857142854
J,Bos_Bison_sp.,Foot,2,2,1,11.76470588235294,14.285714285714285
J,Bos_Bison_sp.,Forelimb,1,1,1,5.88235294117647,7.142857142857142
J,Bos_Bison_sp.,Hindlimb,4,3,1,23.52941176470588,21.428571428571427
J,Canis_lupus,Foot,2,3,1,100,100
J,Capra_sp.,Cranium,2,2,1,100,100
J,Capreolus_capreolus,Hindlimb,1,1,1,100,100
J,Cervid,Axial,2,2,1,14.285714285714285,16.666666666666664
J,Cervid,Cranium,6,5,1,42.857142857142854,41.66666666666667
J,Cervid,Forelimb,3,3,1,21.428571428571427,25
J,Cervid,Hindlimb,3,2,1,21.428571428571427,16.666666666666664
J,Crocuta_spelaea,Cranium,3,3,1,100,100
J,Cuon_alpinus,Cranium,1,1,1,100,100
J,Equid_sp.,Cranium,2,2,1,100,100
J,Equus_hydruntinus,Cranium,1,1,1,100,100
J,Felidae_sp.,Cranium,1,1,1,100,100
J,Hyaena_sp.,Cranium,1,1,1,100,100
J,Panthera_pardus,Cranium,1,1,1,100,100
J,Rangifer_tarandus,Foot,1,1,1,100,100
J,Ursid,Axial,1,1,1,1.2048192771084338,1.2048192771084338
J,Ursid,Cranium,73,73,8,87.95180722891565,87.95180722891565
J,Ursid,Foot,3,4,1,3.614457831325301,4.819277108433735
J,Ursid,Forelimb,4,3,1,4.819277108433735,3.614457831325301
J,Ursid,Hindlimb,2,2,1,2.4096385542168677,2.4096385542168677
J,Vulpes_vulpes,Cranium,2,2,1,100,100
J/K,Bos_Bison_sp.,Cranium,1,1,1,50,50
J/K,Bos_Bison_sp.,Forelimb,1,1,1,50,50
J/K,Canis_lupus,Cranium,1,1,1,100,100
J/K,Capra_sp.,Cranium,2,2,1,66.66666666666666,66.66666666666666
J/K,Capra_sp.,Foot,1,1,1,33.33333333333333,33.33333333333333
J/K,Cervid,Cranium,2,2,1,50,50
J/K,Cervid,Foot,2,2,2,50,50
J/K,Crocuta_spelaea,Cranium,1,1,1,100,100
J/K,Equid_sp.,Cranium,1,1,1,50,50
J/K,Equid_sp.,Hindlimb,1,1,1,50,50
J/K,Hyaena_sp.,Cranium,1,1,1,100,100
J/K,Ursid,Cranium,7,7,2,100,100
K,Bos_Bison_sp.,Axial,1,1,1,3.7037037037037033,4.3478260869565215
K,Bos_Bison_sp.,Cranium,9,9,1,33.33333333333333,39.130434782608695
K,Bos_Bison_sp.,Foot,3,3,1,11.11111111111111,13.043478260869565
K,Bos_Bison_sp.,Forelimb,4,4,1,14.814814814814813,17.391304347826086
K,Bos_Bison_sp.,Hindlimb,10,6,1,37.03703703703704,26.08695652173913
K,Canis_lupus,Cranium,3,3,1,100,100
K,Capra_sp.,Cranium,15,14,2,88.23529411764706,87.5
K,Capra_sp.,Foot,2,2,1,11.76470588235294,12.5
K,Cervid,Axial,1,1,1,4.761904761904762,5.263157894736842
K,Cervid,Cranium,1,1,1,4.761904761904762,5.263157894736842
K,Cervid,Foot,5,3,1,23.809523809523807,15.789473684210526
K,Cervid,Forelimb,4,4,1,19.047619047619047,21.052631578947366
K,Cervid,Hindlimb,10,10,2,47.61904761904761,52.63157894736842
K,Crocuta_spelaea,Cranium,1,1,1,100,100
K,Equid_sp.,Cranium,4,4,1,50,50
K,Equid_sp.,Forelimb,1,1,1,12.5,12.5
K,Equid_sp.,Hindlimb,3,3,1,37.5,37.5
K,Equus_hydruntinus,Cranium,3,3,1,100,100
K,Megaloceros_giganteus,Forelimb,2,2,1,66.66666666666666,66.66666666666666
K,Megaloceros_giganteus,Hindlimb,1,1,1,33.33333333333333,33.33333333333333
K,Panthera_pardus,Foot,1,2,1,25,40
K,Panthera_pardus,Hindlimb,3,3,3,75,60
K,Ursid,Cranium,15,15,2,68.18181818181817,78.94736842105263
K,Ursid,Forelimb,6,3,1,27.27272727272727,15.789473684210526
K,Ursid,Hindlimb,1,1,1,4.545454545454546,5.263157894736842
K,Vulpes_vulpes,Forelimb,1,1,1,100,100
